Region,Bank,API,Channel,OrderPriority,OrderDate,OrderID,APISold,TotalCost,TotalProfit
Sub-Saharan Africa,2,1,Online,L,12/11/15,750012004,4074,2138687.04,514342.5
Middle East and North Africa,1,1,Online,C,7/9/16,750033032,297,28939.68,16376.58
Central America and the Caribbean,1,1,Offline,H,6/28/17,849329268,4259,2140317.86,705844.07
Central America and the Caribbean,2,1,Online,M,3/22/13,805762040,1748,637478.12,99985.6
Sub-Saharan Africa,2,8,Online,H,7/4/10,447505176,5581,653590.91,494420.79
Australia and Oceania,2,5,Offline,L,3/14/17,123045003,606,19264.74,9489.96
Asia,3,8,Offline,H,9/21/15,251180350,8702,4373103.08,1442182.46
Asia,1,2,Online,M,4/10/12,871022546,3782,1900606.28,626790.86
Europe,2,6,Online,L,5/2/10,291995418,6788,46972.96,16359.08
Asia,3,5,Online,C,6/13/14,943835294,692,24801.28,50820.48
Sub-Saharan Africa,3,10,Offline,L,4/18/11,826591002,5501,2887804.96,694501.25
Middle East and North Africa,2,9,Online,M,5/1/11,260623872,3250,855822.5,565077.5
Australia and Oceania,3,10,Online,L,9/21/14,536607730,3007,273426.51,189831.91
Australia and Oceania,1,4,Offline,L,2/17/15,765528905,5870,332652.9,147102.2
Europe,1,9,Online,M,1/25/11,128686225,9968,1589098.56,955532.48
Middle East and North Africa,2,5,Offline,L,4/1/17,127691018,5465,496932.45,345005.45
Australia and Oceania,1,5,Offline,C,5/21/15,534467113,9550,868381.5,602891.5
Australia and Oceania,2,7,Online,H,12/18/10,741250836,1450,82171.5,36337
Australia and Oceania,3,10,Online,M,5/2/14,210591018,7417,722712.48,408973.38
Central America and the Caribbean,2,8,Online,C,3/6/14,725348985,5738,521756.34,362239.94
Sub-Saharan Africa,2,6,Offline,H,8/11/11,538698565,1731,869896.74,286878.63
Central America and the Caribbean,3,10,Offline,H,5/20/16,224126088,2745,321466.95,243179.55
Middle East and North Africa,1,10,Online,M,10/22/12,425430381,3159,100424.61,49469.94
Sub-Saharan Africa,1,10,Offline,M,7/20/16,506722772,9383,853196.19,592348.79
Sub-Saharan Africa,2,6,Offline,C,4/7/10,802427089,4862,2552355.52,613827.5
Asia,2,8,Offline,H,7/14/15,367279660,5068,1334556.44,881173.16
Middle East and North Africa,3,4,Offline,H,5/10/13,126329314,2506,142015.02,62800.36
Asia,2,5,Offline,H,2/1/16,624937379,1713,97075.71,42927.78
Central America and the Caribbean,2,8,Offline,H,8/20/10,678777682,4255,414607.2,234620.7
Asia,3,6,Online,L,4/12/15,523836553,3732,437054.52,330617.88
Sub-Saharan Africa,1,2,Offline,C,4/8/15,466412818,772,90408.92,68391.48
Australia and Oceania,2,8,Online,H,1/27/12,433117806,8039,55629.88,19373.99
Europe,1,8,Offline,L,1/6/12,420875346,5223,1375372.59,908123.01
Sub-Saharan Africa,3,6,Online,C,11/26/14,946921765,4048,1065959.84,703825.76
Sub-Saharan Africa,3,2,Offline,H,4/4/10,798805892,3270,1643305.8,541937.1
Sub-Saharan Africa,3,1,Offline,M,5/17/11,184389054,3674,1846331.96,608892.02
Central America and the Caribbean,1,1,Offline,M,9/9/13,281845080,3077,1546315.58,509951.21
Central America and the Caribbean,1,10,Online,H,9/14/13,989660298,1330,485037.7,76076
Europe,2,8,Online,C,10/5/12,476633536,5310,482838.3,335220.3
Asia,2,1,Offline,C,4/13/13,131876122,3930,626520.6,376729.8
Sub-Saharan Africa,3,6,Offline,L,12/15/14,514811885,3132,1142209.08,179150.4
Asia,3,6,Online,C,12/20/10,905177152,889,466689.44,112236.25
Middle East and North Africa,1,6,Offline,H,7/2/14,653020751,2207,125070.69,55307.42
Asia,2,4,Online,L,1/31/17,528704011,4121,1502887.49,235721.2
Asia,1,3,Offline,M,2/5/15,472900760,699,68110.56,38542.86
Central America and the Caribbean,3,5,Offline,L,7/23/13,946597325,8039,1281577.38,770618.54
Asia,3,8,Offline,L,10/6/14,681092536,9272,4867429.12,1170590
Europe,3,4,Offline,C,7/2/14,727997720,9558,869108.94,603396.54
Middle East and North Africa,3,2,Online,C,5/29/13,409236705,1090,173767.8,104487.4
Europe,2,8,Online,M,3/11/13,467045819,8092,458573.64,202785.52
Europe,1,8,Offline,C,11/1/12,813973891,1818,478733.94,316095.66
Middle East and North Africa,2,4,Online,M,5/22/12,982882249,5554,2791107.16,920464.42
Europe,3,10,Offline,L,9/30/16,576944720,9619,2532971.27,1672455.53
Asia,2,6,Offline,C,9/25/16,619647634,6360,578314.8,401506.8
Europe,1,1,Online,L,8/3/15,404789817,5157,822128.94,494350.02
Asia,3,8,Offline,M,1/16/10,646482598,7422,723199.68,409249.08
Sub-Saharan Africa,2,2,Online,C,11/1/16,329149806,1597,582409.93,91348.4
Australia and Oceania,2,8,Offline,M,11/25/15,757527768,8155,4281048.8,1029568.75
Sub-Saharan Africa,2,5,Online,C,9/24/14,606665313,4602,1211844.66,800149.74
Europe,1,1,Online,C,4/30/14,871923768,474,75565.08,45437.64
Europe,2,7,Offline,C,12/18/12,818976962,2337,212503.41,147534.81
Europe,1,3,Online,C,7/20/17,233811223,8792,2315197.36,1528665.04
Central America and the Caribbean,2,4,Offline,L,2/16/17,772725379,5466,173764.14,85597.56
Europe,3,7,Offline,C,12/15/16,112330758,22,11549.12,2777.5
Middle East and North Africa,3,9,Online,M,12/28/11,499551188,7153,256363.52,525316.32
Asia,2,9,Online,M,5/28/13,201622998,3581,128343.04,262988.64
Europe,1,3,Offline,H,7/2/14,256095016,3061,1606902.56,386451.25
Sub-Saharan Africa,1,6,Offline,M,3/21/17,420828568,1380,9549.6,3325.8
Sub-Saharan Africa,2,2,Online,L,3/17/13,523997485,1355,158684.05,120039.45
Asia,3,8,Online,C,4/30/10,914088094,7835,4113061.6,989168.75
Sub-Saharan Africa,2,9,Online,M,9/16/13,209899222,2699,262990.56,148822.86
Sub-Saharan Africa,1,2,Offline,M,5/30/14,250542199,9859,353346.56,724044.96
Europe,2,6,Online,L,11/28/15,245440852,257,93725.33,14700.4
Sub-Saharan Africa,2,5,Online,L,3/7/15,824331510,6867,624416.31,433513.71
Sub-Saharan Africa,2,8,Online,M,1/15/14,887263000,9693,3534940.17,554439.6
Sub-Saharan Africa,3,4,Offline,H,5/22/15,754596650,772,90408.92,68391.48
Europe,3,7,Online,H,10/22/11,817006289,9172,63470.24,22104.52
Sub-Saharan Africa,1,8,Offline,H,2/8/12,185478246,5989,214645.76,439832.16
Asia,2,4,Offline,C,10/16/14,741311347,9356,530204.52,234461.36
Middle East and North Africa,3,4,Offline,M,11/14/11,386116921,9432,534511.44,236365.92
Central America and the Caribbean,2,8,Offline,L,5/3/15,691818797,3411,1243957.59,195109.2
Central America and the Caribbean,2,1,Online,C,7/16/15,150653302,515,50181.6,28397.1
Asia,3,5,Offline,M,4/1/15,925169265,7000,636510,441910
Europe,2,1,Online,H,9/20/10,298228013,1151,104660.43,72662.63
Australia and Oceania,2,4,Online,L,8/24/10,123003375,8287,4350343.52,1046233.75
Europe,3,9,Online,C,3/15/17,972981679,5755,560767.2,317330.7
Asia,1,8,Online,M,9/12/14,791961753,7937,252317.23,124293.42
Asia,1,10,Online,C,3/25/11,744054925,1242,624154.68,205836.66
Asia,2,1,Offline,L,3/3/12,263685023,9113,4783960.48,1150516.25
Central America and the Caribbean,2,10,Online,H,5/19/16,205588376,7024,1119766.08,673320.64
Europe,3,4,Offline,M,6/8/12,594813811,7480,423891.6,187448.8
Europe,3,6,Online,H,9/8/12,176722657,5016,179773.44,368375.04
Europe,3,7,Offline,M,8/16/11,466988742,1201,68060.67,30097.06
Sub-Saharan Africa,2,7,Offline,L,5/14/12,801598393,9633,545902.11,241402.98
Sub-Saharan Africa,1,9,Offline,M,4/28/15,586850440,941,343173.29,53825.2
Central America and the Caribbean,3,2,Offline,H,5/21/14,649356210,7787,758765.28,429375.18
Middle East and North Africa,2,1,Offline,H,11/15/15,986039531,9864,1155173.04,873851.76
Asia,1,3,Offline,H,1/10/12,314136731,8894,4469590.76,1474002.62
Middle East and North Africa,2,3,Offline,H,1/28/15,121196639,3634,115524.86,56908.44
Europe,2,3,Online,C,8/11/15,615080583,4868,570091.48,431256.12
Asia,2,2,Offline,L,8/19/16,273962390,414,2864.88,997.74
Middle East and North Africa,2,6,Offline,H,8/22/14,796328389,121,6857.07,3032.26
Europe,2,2,Online,C,12/26/10,350977408,869,228833.77,151093.03
Middle East and North Africa,1,4,Offline,M,8/27/15,327020776,1570,56268.8,115300.8
Middle East and North Africa,3,1,Online,H,3/11/13,383882319,8164,742352.52,515393.32
Europe,1,1,Offline,M,12/8/11,701298367,8626,488835.42,216167.56
Sub-Saharan Africa,2,4,Online,M,6/27/17,629317748,7961,55090.12,19186.01
Asia,2,9,Offline,C,10/21/13,938301789,3205,510941.1,307231.3
Middle East and North Africa,2,8,Online,L,6/1/12,668924319,8426,766176.18,531933.38
Asia,3,10,Online,C,10/8/10,282171666,9721,348400.64,713910.24
Europe,1,2,Online,C,2/25/11,309342658,222,12580.74,5563.32
Sub-Saharan Africa,2,3,Online,H,12/5/16,902048623,5088,1339823.04,884650.56
Middle East and North Africa,3,7,Online,H,8/6/13,482213389,6513,233425.92,478314.72
Central America and the Caribbean,3,10,Offline,C,6/7/10,692073285,8719,792818.67,550430.47
Australia and Oceania,3,4,Online,L,12/27/13,544177138,2963,20503.96,7140.83
Central America and the Caribbean,3,9,Online,M,9/28/16,471386277,2530,230052.9,159718.9
Australia and Oceania,2,4,Online,L,1/8/16,976874530,7737,438455.79,193889.22
Europe,3,10,Offline,M,3/20/10,384128224,933,468869.82,154626.09
Sub-Saharan Africa,1,2,Online,H,2/21/10,686946189,1498,84891.66,37539.88
Sub-Saharan Africa,2,10,Offline,M,7/14/12,799439752,843,82141.92,46483.02
Central America and the Caribbean,2,5,Online,M,5/29/11,606032741,7410,867785.1,656451.9
Asia,1,4,Offline,H,12/25/16,511461484,1674,53216.46,26214.84
Europe,2,5,Offline,C,1/17/14,990774810,1138,571890.52,188600.74
Asia,1,9,Offline,M,3/2/11,339334046,5340,520329.6,294447.6
Sub-Saharan Africa,1,3,Offline,C,3/10/14,522813022,846,47942.82,21200.76
Sub-Saharan Africa,2,2,Offline,M,11/17/14,427198064,6255,43284.6,15074.55
Asia,2,9,Offline,C,6/3/17,808788001,7197,228792.63,112705.02
Sub-Saharan Africa,3,1,Offline,L,12/7/11,244194161,1334,486496.46,76304.8
Central America and the Caribbean,2,7,Offline,L,2/1/16,980340373,3357,23230.44,8090.37
Australia and Oceania,2,7,Online,M,10/6/10,384462964,9990,317582.1,156443.4
Europe,2,7,Offline,C,12/26/11,394110763,4988,453558.84,314892.44
Australia and Oceania,3,4,Online,L,2/12/14,767145097,4137,1089396.21,719300.19
Sub-Saharan Africa,2,3,Online,L,5/21/16,431739795,254,1757.68,612.14
Asia,3,7,Online,L,7/2/11,636381185,8189,959013.79,725463.51
Europe,1,8,Online,C,3/2/12,899868094,9821,67961.32,23668.61
Europe,3,8,Offline,L,1/6/17,361311852,9061,1444504.62,868587.46
Europe,1,10,Online,L,5/20/14,930136287,6852,217825.08,107302.32
Central America and the Caribbean,2,2,Online,L,5/19/16,536077725,6167,722217.37,546334.53
Sub-Saharan Africa,1,5,Online,M,4/6/17,779184997,7011,683151.84,386586.54
Europe,1,10,Online,C,5/5/12,179819428,1420,373928.6,246895.4
Asia,3,4,Online,H,12/7/16,928654849,8461,769358.73,534142.93
Sub-Saharan Africa,3,9,Offline,H,2/14/17,336677587,9234,1472084.28,885171.24
Australia and Oceania,2,5,Online,C,6/2/11,285186469,1869,169948.17,117989.97
Middle East and North Africa,1,5,Offline,M,7/15/14,475792825,6525,1040215.5,625486.5
Middle East and North Africa,1,1,Offline,L,10/6/15,680420482,396,14192.64,29082.24
Europe,2,7,Online,H,1/5/13,291305768,2705,18718.6,6519.05
Middle East and North Africa,1,2,Offline,L,8/19/16,570997512,9707,1547489.94,930513.02
Europe,1,10,Online,L,4/24/15,602357041,9689,549075.63,242806.34
Middle East and North Africa,3,5,Online,M,2/26/10,438558185,7967,2905485.23,455712.4
Europe,3,5,Online,H,12/2/10,653087270,1891,184259.04,104269.74
Australia and Oceania,1,7,Offline,C,1/23/17,989743125,5840,683922.4,517365.6
Europe,1,9,Offline,M,12/15/13,812637078,6225,43077,15002.25
Europe,3,7,Online,L,7/19/14,456192958,6489,367731.63,162614.34
Middle East and North Africa,3,4,Online,L,2/17/10,775147092,2105,246516.55,186481.95
Sub-Saharan Africa,2,2,Offline,M,12/28/11,894548308,5578,2803168.12,924441.94
Sub-Saharan Africa,2,8,Offline,H,5/3/17,459757936,1445,380511.85,251242.15
Europe,3,5,Offline,H,1/31/13,986449801,1272,463885.68,72758.4
Europe,1,5,Online,L,7/3/17,910610234,8659,2280174.47,1505540.33
Sub-Saharan Africa,2,5,Offline,H,11/8/15,538538062,4235,495960.85,375178.65
Europe,1,6,Online,M,3/3/17,696844613,661,241060.09,37809.2
Middle East and North Africa,1,2,Online,H,8/18/12,482453715,7630,52799.6,18388.3
Central America and the Caribbean,2,10,Offline,L,3/11/17,412601697,6866,3604375.36,866832.5
Central America and the Caribbean,1,2,Offline,M,10/17/12,174837386,7123,2597686.87,407435.6
Middle East and North Africa,2,1,Offline,L,9/29/12,877022111,9187,520627.29,230226.22
North America,2,7,Offline,M,6/22/12,997329699,876,102588.36,77604.84
Sub-Saharan Africa,2,9,Offline,M,1/19/16,434246480,2038,198582.72,112375.32
Central America and the Caribbean,2,8,Online,C,4/3/17,956571280,9554,1118868.94,846388.86
Europe,2,2,Online,M,12/4/10,353415429,2334,132267.78,58490.04
Sub-Saharan Africa,2,7,Online,H,11/27/11,984202754,6321,574768.53,399044.73
Sub-Saharan Africa,3,8,Offline,H,5/16/13,328669583,9488,301623.52,148582.08
Middle East and North Africa,2,2,Offline,C,5/16/13,436864745,6841,1801440.53,1189444.67
Middle East and North Africa,2,6,Offline,M,1/1/11,279149568,5415,2721254.1,897427.95
Europe,1,8,Online,H,3/19/10,696197879,9278,1086546.58,821938.02
North America,2,6,Offline,M,1/9/16,348996007,4529,2276003.66,750591.17
Sub-Saharan Africa,1,3,Offline,L,8/3/15,668842780,4297,136601.63,67291.02
Europe,2,9,Online,C,4/5/12,907349526,3743,985644.19,650795.41
Europe,3,4,Offline,C,4/5/14,386440074,5060,286750.2,126803.6
